date,replication,depth,bulk_density,soil_ratio,water_content,pH,EC,Salinity,TOC,TN,Temp.,ORP,SbOC,Li,NA,NH4,K,Ca,Mg,F,Cl,NO2,Br,NO3,SO4,PO4,,
2023/5/1,2,5 - 10,NA,0.77,0.30,6.43,1.16,0.07,NA,NA,NA,NA,0.16,0.00,2.04,0.03,0.13,0.08,0.20,0.00,3.21,0.00,0.01,0.01,1.01,0.00,,
2023/5/1,3,0 - 2,NA,0.72,0.38,6.61,1.31,0.07,NA,NA,29.0,-103,0.19,0.00,1.59,0.03,0.13,0.06,0.11,0.00,2.35,0.00,0.01,0.02,0.60,0.00,,
2023/5/1,3,2 - 5,NA,0.71,0.41,6.70,0.73,0.04,NA,NA,29.0,-103,0.16,0.00,1.64,0.01,0.11,0.07,0.13,0.00,2.61,0.00,0.01,0.01,0.45,0.00,,
2023/5/1,3,5 - 10,NA,0.68,0.48,6.90,0.80,0.04,NA,NA,29.0,-103,0.14,0.00,1.23,0.00,0.09,0.03,0.06,0.00,1.76,0.00,0.00,0.03,0.14,0.00,,
2023/6/9,1,0 - 2,NA,0.58,0.73,6.20,0.07,0.00,NA,NA,NA,-231,5.28,0.00,1.45,0.01,0.15,0.13,0.16,0.00,2.60,0.00,0.01,0.00,0.07,0.00,,
2023/6/9,1,2 - 5,NA,0.70,0.43,6.08,0.08,0.00,NA,NA,NA,-231,3.68,0.00,1.96,0.00,0.18,0.13,0.18,0.00,2.27,0.00,0.01,0.00,0.51,0.00,,
2023/6/9,1,5 - 10,NA,0.73,0.38,5.49,0.08,0.00,NA,NA,NA,-231,4.15,0.00,1.32,0.00,0.14,0.11,0.15,0.00,2.29,0.00,0.00,0.00,0.16,0.01,,
2023/6/9,2,0 - 2,NA,0.56,0.79,6.50,0.07,0.00,NA,NA,NA,NA,3.55,0.00,1.03,0.00,0.11,0.10,0.12,0.00,1.60,0.00,0.00,0.00,0.44,0.00,,
2023/6/9,2,2 - 5,NA,0.66,0.52,6.15,0.07,0.00,NA,NA,NA,NA,2.82,0.00,1.05,0.00,0.13,0.08,0.08,0.00,1.61,0.00,0.01,0.00,0.49,0.00,,
2023/6/9,2,5 - 10,NA,0.71,0.42,4.60,0.07,0.00,NA,NA,NA,NA,2.77,0.00,1.39,0.00,0.13,0.12,0.13,0.00,2.27,0.00,0.01,0.00,0.58,0.00,,
2023/6/9,3,0 - 2,NA,0.41,1.42,5.22,0.06,0.00,NA,NA,NA,-116,3.85,0.00,1.35,0.00,0.15,0.12,0.15,0.00,2.24,0.00,0.00,0.00,0.49,0.00,,
2023/6/9,3,2 - 5,NA,0.64,0.55,5.29,0.04,0.00,NA,NA,NA,-116,4.27,0.00,1.24,0.00,0.15,0.11,0.14,0.00,2.12,0.00,0.01,0.00,0.36,0.00,,
2023/6/9,3,5 - 10,NA,0.71,0.41,5.18,0.03,0.00,NA,NA,NA,-116,4.23,0.00,1.35,0.00,0.13,0.10,0.13,0.00,2.27,0.00,0.01,0.00,0.22,0.00,,
2023/7/28,1,0 - 2,NA,0.65,0.53,3.27,4.80,0.26,5.45,0.32,NA,460,0.09,0.00,2.25,0.03,0.13,0.54,0.55,0.01,3.29,0.00,0.01,0.00,7.45,0.00,,
2023/7/28,1,2 - 5,NA,0.67,0.49,3.55,4.06,0.21,3.01,0.22,NA,460,0.09,0.00,1.61,0.02,0.05,0.51,0.56,0.01,2.30,0.00,0.01,0.00,6.17,0.00,,
2023/7/28,1,5 - 10,NA,0.70,0.42,4.19,3.05,0.16,2.87,0.20,NA,460,0.77,0.00,1.45,0.01,0.09,0.36,0.39,0.00,2.03,0.00,0.01,0.00,4.38,0.00,,
2023/7/28,2,0 - 2,NA,0.62,0.62,8.17,5.56,0.27,2.65,0.22,NA,NA,0.56,0.00,2.38,0.03,0.18,0.28,0.38,0.00,3.78,0.00,0.01,0.00,2.51,0.00,,
2023/7/28,2,2 - 5,NA,0.62,0.60,8.03,4.09,0.21,1.94,0.19,NA,NA,0.37,0.00,1.88,0.04,0.15,0.13,0.20,0.00,2.95,0.00,0.01,0.00,1.03,0.00,,
2023/7/28,2,5 - 10,NA,0.60,0.68,7.80,3.45,0.18,2.25,0.21,NA,NA,0.27,0.00,1.53,0.03,0.14,0.13,0.18,0.00,2.23,0.00,0.01,0.00,1.26,0.00,,
2023/7/28,3,0 - 2,NA,0.63,0.58,7.22,3.73,0.19,2.19,0.21,NA,195,0.35,0.00,1.99,0.03,0.16,0.25,0.34,0.00,3.02,0.00,0.01,0.00,2.35,0.00,,
2023/7/28,3,2 - 5,NA,0.65,0.54,7.84,3.07,0.15,2.10,0.19,NA,195,0.32,0.00,1.31,0.02,0.12,0.12,0.16,0.00,1.85,0.00,0.01,0.00,1.18,0.00,,
2023/7/28,3,5 - 10,NA,0.63,0.60,8.19,3.04,0.17,2.09,0.19,NA,195,0.33,0.00,1.53,0.02,0.14,0.09,0.15,0.00,2.24,0.00,0.01,0.00,0.95,0.00,,
2023/9/8,1,0-10,0.94,0.67,0.49,3.55,1.00,0.05,NA,NA,27.2,-28,0.10,0.00,0.45,0.01,0.06,0.04,0.05,0.00,0.50,0.00,0.00,0.00,0.69,0.00,,
2023/9/8,2,0-10,1.09,0.66,0.51,7.04,1.56,0.08,NA,NA,27.4,-47,0.18,0.00,0.73,0.02,0.08,0.05,0.05,0.00,0.19,0.00,0.00,0.00,0.07,0.00,,
2023/9/8,3,0-10,1.23,0.71,0.41,7.31,1.41,0.07,NA,NA,27.4,-24,0.19,0.00,0.79,0.02,0.07,0.05,0.05,0.00,0.19,0.00,0.00,0.00,0.04,0.00,,
2023/9/8,4,0-10,0.98,0.77,0.29,7.44,0.84,0.04,NA,NA,27.4,-200,0.15,0.00,0.73,0.01,0.07,0.05,0.04,0.00,0.15,0.00,0.00,0.00,0.03,0.00,,
2023/9/8,5,0-10,1.15,0.71,0.41,7.26,1.21,0.06,NA,NA,26.5,-70,0.20,0.00,0.70,0.01,0.06,0.03,0.03,0.00,0.13,0.00,0.00,0.00,0.02,0.00,,
2023/9/8,6,0-10,1.20,0.72,0.38,6.09,0.76,0.04,NA,NA,27.5,-180,0.15,0.00,0.47,0.01,0.05,0.03,0.03,0.00,0.14,0.00,0.00,0.00,0.03,0.00,,
2023/10/19,1,0-10,NA,0.65,0.55,5.27,3.00,0.16,2.34,0.18,27,-139,0.20,0.00,1.42,0.04,0.12,0.11,0.20,0.00,2.31,0.00,0.01,0.00,1.03,0.00,,
2023/10/19,2,0-10,NA,0.61,0.65,6.97,3.64,0.19,2.49,0.18,26.9,-69,0.22,0.00,1.50,0.03,0.13,0.17,0.22,0.00,2.25,0.00,0.01,0.00,0.92,0.00,,
2023/10/19,3,0-10,NA,0.61,0.63,6.38,3.09,0.17,2.34,0.18,27.2,-107,0.20,0.00,1.42,0.03,0.12,0.14,0.21,0.00,2.19,0.00,0.01,0.00,0.98,0.00,,
2023/10/19,4,0-10,NA,0.69,0.44,6.24,2.13,0.11,2.00,0.14,27.8,-84,0.15,0.00,1.03,0.01,0.09,0.07,0.09,0.00,1.54,0.00,0.00,0.00,0.45,0.00,,
2023/10/19,5,0-10,NA,0.50,0.98,6.26,5.03,0.27,2.57,0.24,27.3,-54,0.25,0.00,1.75,0.04,0.12,0.11,0.20,0.00,2.93,0.00,0.01,0.00,0.61,0.00,,
2023/10/19,6,0-10,NA,0.53,0.88,5.96,4.44,0.24,2.21,0.21,27.3,-98,0.26,0.00,1.64,0.03,0.12,0.15,0.24,0.00,2.69,0.00,0.01,0.00,0.92,0.00,,
2023/11/24,1,0-10,NA,0.53,0.89,5.97,2.98,0.16,NA,NA,21.4,-162,0.18,0.00,1.75,0.02,0.13,0.53,0.13,0.00,3.00,0.00,0.01,0.00,0.60,0.00,,
2023/11/24 ,2,0-10,NA,0.66,0.52,6.84,1.94,0.10,NA,NA,21.8,-55,0.14,0.00,1.59,0.02,0.13,0.67,0.11,0.00,2.57,0.00,0.01,0.00,0.60,0.00,,
2023/11/24 ,3,0-10,NA,0.71,0.40,6.65,1.45,0.08,NA,NA,21.4,-60,0.09,0.00,1.07,0.00,0.10,0.36,0.07,0.00,1.57,0.00,0.00,0.00,0.42,0.00,,
2023/11/24 ,4,0-10,NA,0.72,0.38,6.84,1.34,0.27,NA,NA,21.4,-26,0.12,0.00,1.26,0.00,0.09,0.32,0.05,0.00,2.00,0.00,0.00,0.00,0.32,0.00,,
2023/11/24 ,5,0-10,NA,0.63,0.59,6.41,2.48,0.16,NA,NA,21.8,-149,0.20,0.00,1.76,0.03,0.13,0.99,0.17,0.00,3.19,0.00,0.01,0.00,0.65,0.00,,
2023/11/24 ,6,0-10,NA,0.41,1.42,6.31,5.53,0.30,NA,NA,21.2,-126,0.19,0.00,2.45,0.03,0.16,0.90,0.22,0.00,4.35,0.00,0.01,0.00,0.84,0.00,,
2023/12/21 ,1,0-10,1.19,0.54,0.84,6.06,2.19,0.12,NA,NA,13.8,-144,0.22,0.00,1.51,0.03,0.13,0.50,0.12,0.00,1.90,0.00,0.00,0.00,0.60,0.00,,
2023/12/21 ,2,0-10,1.29,0.64,0.56,6.69,1.68,0.09,NA,NA,13.9,-60,0.13,0.00,1.30,0.02,0.12,0.72,0.13,0.00,1.45,0.00,0.00,0.00,0.66,0.00,,
2023/12/21 ,3,0-10,1.20,0.56,0.77,6.48,2.42,0.13,NA,NA,13.4,-30,0.17,0.00,1.50,0.02,0.13,0.44,0.11,0.00,1.45,0.00,0.00,0.00,0.33,0.00,,
2023/12/21 ,4,0-10,1.51,0.72,0.39,6.89,1.17,0.06,NA,NA,13,-100,0.17,0.00,1.01,0.01,0.09,0.24,0.04,0.00,1.34,0.00,0.00,0.00,0.28,0.00,,
2023/12/21 ,5,0-10,0.94,0.46,1.20,6.20,3.47,0.19,NA,NA,13.2,-32,0.22,0.00,1.63,0.02,0.14,0.54,0.15,0.00,2.51,0.00,0.01,0.00,0.73,0.00,,
2023/12/21 ,6,0-10,0.98,0.47,1.14,6.32,3.88,0.26,NA,NA,14.9,-308,0.20,0.00,1.73,0.03,0.14,0.62,0.15,0.00,2.69,0.00,0.01,0.00,0.69,0.00,,
2024/1/23 ,1,0-10,NA,0.58,0.71,5.95,1.69,0.09,2.64,0.21,14.2,78,0.37,0.00,1.72,0.04,0.14,0.45,0.12,0.00,2.68,0.00,0.01,0.00,0.37,0.00,,
2024/1/23 ,2,0-10,NA,0.58,0.72,6.73,1.96,0.11,2.46,0.19,15,-70,0.29,0.00,1.23,0.02,0.11,0.38,0.08,0.00,1.87,0.00,0.00,0.00,0.27,0.00,,
2024/1/23 ,3,0-10,NA,0.73,0.37,6.63,1.03,0.05,1.33,0.09,15.5,-102,0.17,0.00,1.05,0.00,0.10,0.23,0.05,0.00,1.53,0.00,0.00,0.00,0.22,0.00,,
2024/1/23 ,4,0-10,NA,0.78,0.29,6.62,0.94,0.05,1.91,0.10,13.9,45,0.17,0.00,1.02,0.00,0.09,0.13,0.02,0.00,1.42,0.00,0.00,0.00,0.23,0.00,,
2024/1/23 ,5,0-10,NA,0.66,0.52,6.43,1.71,0.09,2.07,0.15,14.6,-113,0.27,0.00,1.62,0.03,0.13,0.46,0.10,0.00,2.53,0.00,0.01,0.00,0.30,0.00,,
2024/1/23 ,6,0-10,NA,0.53,0.87,6.32,2.59,0.14,2.55,0.23,14.8,-118,0.30,0.00,1.66,0.03,0.14,0.45,0.11,0.00,2.53,0.00,0.01,0.00,0.36,0.00,,
2024/2/21,1,0-10,NA,0.45,1.20,6.22,6.98,0.37,NA,NA,22.0,256,0.30,0.00,2.38,0.04,0.18,0.11,0.27,0.00,0.85,0.00,0.00,0.00,0.19,0.00,,
2024/2/21,2,0-10,NA,0.59,0.70,6.34,4.07,0.22,NA,NA,22.0,237,0.19,0.00,1.02,0.01,0.08,0.07,0.11,0.00,3.13,0.00,0.01,0.00,0.84,0.00,,
2024/2/21,3,0-10,NA,0.58,0.73,6.33,4.19,0.22,NA,NA,22.2,12,0.18,0.00,2.00,0.02,0.16,0.09,0.21,0.00,3.28,0.00,0.01,0.00,0.99,0.00,,
2024/2/21,4,0-10,NA,0.70,0.42,6.52,2.39,0.13,NA,NA,22.5,-151,0.16,0.00,1.57,0.01,0.13,0.06,0.11,0.00,2.45,0.00,0.01,0.00,0.51,0.00,,
2024/2/21,5,0-10,NA,0.54,0.86,6.24,5.25,0.28,NA,NA,25.7,-129,0.21,0.00,2.31,0.02,0.16,0.12,0.21,0.00,3.85,0.00,0.01,0.00,0.85,0.00,,
2024/2/21,6,0-10,NA,0.61,0.65,6.32,3.38,0.18,NA,NA,20.9,-153,0.14,0.00,1.41,0.01,0.12,0.09,0.11,0.00,2.20,0.00,0.00,0.00,0.70,0.00,,
2024/3/26 ,1,0-10,NA,0.66,0.51,6.37,2.92,0.16,NA,NA,22.1,-25,0.18,0.00,0.36,0.00,0.03,0.00,0.03,0.00,2.77,0.00,0.01,0.00,0.50,0.00,,
2024/3/26,2,0-10,NA,0.48,1.09,6.19,6.10,0.33,NA,NA,21.4,-34,0.21,0.00,2.43,0.03,0.17,0.08,0.19,0.00,3.95,0.00,0.01,0.00,0.52,0.00,,
2024/3/26 ,3,0-10,NA,0.67,0.49,6.50,2.74,0.15,NA,NA,22,88,0.15,0.00,1.69,0.02,0.13,0.09,0.10,0.00,2.68,0.00,0.01,0.00,0.34,0.00,,
2024/3/26 ,4,0-10,NA,0.70,0.44,6.50,2.87,0.15,NA,NA,21.9,95,0.15,0.00,1.70,0.01,0.14,0.05,0.11,0.00,2.65,0.00,0.01,0.00,0.44,0.00,,
2024/3/26 ,5,0-10,NA,0.54,0.86,6.19,5.04,0.27,NA,NA,22.1,104,0.23,0.00,2.27,0.03,0.16,0.08,0.19,0.00,3.89,0.00,0.01,0.00,0.62,0.00,,
2024/3/26 ,6,0-10,NA,0.54,0.86,6.45,3.98,0.21,NA,NA,21.2,-103,0.24,0.00,2.27,0.03,0.16,0.08,0.18,0.00,3.67,0.00,0.01,0.00,0.60,0.00,,
2024/4/22 ,1,0-10,1.25 ,0.71,0.41,6.60,2.02,0.11,1.55,0.12,25.5,10,0.17,0.00,0.83,0.01,0.12,0.07,0.09,0.00,1.86,0.00,0.01,0.00,0.20,0.00,,
2024/4/22 ,2,0-10,1.28 ,0.67,0.49,6.52,2.26,0.13,2.16,0.16,26.1,120,0.18,0.00,0.96,0.03,0.12,0.10,0.13,0.00,2.25,0.00,0.01,0.02,0.47,0.00,,
2024/4/22 ,3,0-10,1.18 ,0.71,0.42,6.68,1.96,0.10,1.97,0.13,26.4,-150,0.20,0.00,0.82,0.02,0.11,0.09,0.10,0.00,1.82,0.00,0.01,0.02,0.31,0.00,,
2024/4/22 ,4,0-10,1.28 ,0.71,0.40,6.74,1.76,0.09,1.47,0.11,26.5,-100,0.10,0.00,0.61,0.00,0.09,0.08,0.06,0.00,1.23,0.00,0.01,0.03,0.18,0.00,,
2024/4/22 ,5,0-10,1.38 ,0.72,0.38,6.76,1.75,0.09,1.83,0.11,26.6,10,0.19,0.00,0.65,0.01,0.09,0.08,0.06,0.00,1.36,0.00,0.01,0.00,0.21,0.00,,
2024/4/22 ,6,0-10,1.21 ,0.73,0.37,6.71,1.79,0.09,1.86,0.13,25.8,-50,0.17,0.00,0.72,0.00,0.10,0.09,0.06,0.00,1.40,0.00,0.01,0.00,0.25,0.00,,
