date,replicate,type,CO2  flux,CH4  flux,N2O  flux,W_Li,W_NA,W_NH4,W_K,W_Ca,W_Mg,W_F,W_Cl,W_NO2,W_Br,W_NO3,W_SO4,W_PO4,W_SbOC,W_pH,W_EC,W_Temp.,W_Salinity,S_soil_ratio,S_water_content,S_pH,S_EC,S_Salinity,S_TOC,S_TN,S_Temp.,S_ORP,S_SbOC,S_Li,S_NA,S_NH4,S_K,S_Ca,S_Mg,S_F,S_Cl,S_NO2,S_Br,S_NO3,S_SO4,S_PO4
2023/7/28,2,S,6,2030,NA,0.05 ,1051.13 ,0.06 ,43.80 ,128.46 ,146.12 ,0.35 ,1943.10 ,1.23 ,5.27 ,0.73 ,439.32 ,0.00 ,2.79 ,7.80 ,6.66 ,24.8,0.35 ,0.61,64.40,7.94,4.06,20.70,2.24,0.21,,,0.36,0.00,1.81,0.03,0.15,0.16,0.23,0.00,2.76,0.00,0.01,0.00,1.44,0.00
2023/7/28,3,S,142,122,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.64,57.80,7.89,3.19,16.80,2.11,0.19,,195.00,0.33,0.00,1.56,0.02,0.14,0.13,0.19,0.00,2.28,0.00,0.01,0.00,1.30,0.00
2023/9/22,1,S,203,4060,NA,0.02 ,97.40 ,0.79 ,6.55 ,13.19 ,12.21 ,4.72 ,80.93 ,0.45 ,1.09 ,0.16 ,65.34 ,0.00 ,2.87 ,7.74 ,0.69 ,27.7,0.04 ,0.67,49.00,3.55,1.00,5.00,,,27.20,-28.00,0.10,0.00,0.45,0.01,0.06,0.04,0.05,0.00,0.50,0.00,0.00,0.00,0.69,0.00
2023/9/22,2,S,406,60895,NA,0.00 ,55.66 ,1.31 ,4.63 ,15.93 ,10.12 ,0.00 ,77.71 ,0.12 ,1.16 ,1.27 ,21.05 ,0.00 ,2.96 ,8.01 ,0.46 ,27.1,0.02 ,0.66,51.00,7.04,1.56,8.00,,,27.40,-47.00,0.18,0.00,0.73,0.02,0.08,0.05,0.05,0.00,0.19,0.00,0.00,0.00,0.07,0.00
2023/9/22,3,S,142,406,NA,0.01 ,74.98 ,1.20 ,5.58 ,14.76 ,11.38 ,0.00 ,127.50 ,0.15 ,1.19 ,1.06 ,25.71 ,0.00 ,3.53 ,7.83 ,0.92 ,27.2,0.04 ,0.71,41.00,7.31,1.41,7.00,,,27.40,-24.00,0.19,0.00,0.79,0.02,0.07,0.05,0.05,0.00,0.19,0.00,0.00,0.00,0.04,0.00
2023/10/19,1,S,183,609,NA,0.07 ,2834.04 ,0.78 ,98.95 ,133.20 ,422.08 ,0.42 ,5464.00 ,1.00 ,13.38 ,1.21 ,713.04 ,0.00 ,3.93 ,7.10 ,16.61 ,27.7,0.90 ,0.65,55.00,5.27,3.00,16.00,2.34,0.18,27.00,-139.00,0.20,0.00,1.42,0.04,0.12,0.11,0.20,0.00,2.31,0.00,0.01,0.00,1.03,0.00
2023/10/19,2,S,406,4060,NA,0.09 ,2824.79 ,0.35 ,104.42 ,134.53 ,424.50 ,0.51 ,5605.32 ,1.61 ,13.89 ,0.79 ,750.62 ,0.00 ,3.05 ,7.23 ,16.96 ,28.9,0.89 ,0.61,65.00,6.97,3.64,19.00,2.49,0.18,26.90,-69.00,0.22,0.00,1.50,0.03,0.13,0.17,0.22,0.00,2.25,0.00,0.01,0.00,0.92,0.00
2023/10/19,3,S,203,812,NA,0.18 ,2905.38 ,0.00 ,108.62 ,137.61 ,435.57 ,0.52 ,5751.81 ,0.00 ,12.42 ,0.42 ,762.32 ,0.00 ,3.12 ,7.78 ,17.58 ,33.6,0.93 ,0.61,63.00,6.38,3.09,17.00,2.34,0.18,27.20,-107.00,0.20,0.00,1.42,0.03,0.12,0.14,0.21,0.00,2.19,0.00,0.01,0.00,0.98,0.00
2023/10/19,1,S,287,112206,25.59,0.02 ,97.40 ,0.79 ,6.55 ,13.19 ,12.21 ,4.72 ,80.93 ,0.45 ,1.09 ,0.16 ,65.34 ,0.00 ,2.87 ,7.74 ,0.69 ,27.7,0.04 ,0.65,55.00,5.27,3.00,16.00,2.34,0.18,27.00,-139.00,0.20,0.00,1.42,0.04,0.12,0.11,0.20,0.00,2.31,0.00,0.01,0.00,1.03,0.00
2023/11/24,1,S,203,61,NA,0.22 ,4762.07 ,0.00 ,171.49 ,1581.28 ,555.22 ,1.34 ,9140.99 ,2.87 ,26.27 ,2.07 ,1251.79 ,0.00 ,0.95 ,7.29 ,26.30 ,20.3,1.54 ,0.53,89,5.97,2.98,16,,,21.4,-162,0.18,0,1.75,0.02,0.13,0.53,0.13,0,3,0,0.01,0,0.6,0
2023/11/24,2,S,20,406,NA,0.09 ,4536.32 ,0.00 ,166.24 ,1485.62 ,510.18 ,1.22 ,8883.72 ,2.52 ,24.60 ,1.35 ,1218.68 ,0.00 ,0.83 ,7.30 ,25.20 ,20.3,1.41 ,0.66,52,6.84,1.94,10,,,21.8,-55,0.14,0,1.59,0.02,0.13,0.67,0.11,0,2.57,0,0.01,0,0.6,0
2023/11/24,3,S,20,2030,NA,0.14 ,4593.04 ,0.00 ,169.16 ,1501.63 ,484.25 ,1.16 ,8828.99 ,3.61 ,26.59 ,2.15 ,1209.48 ,0.00 ,0.84 ,7.53 ,25.30 ,20.7,1.49 ,0.71,40,6.65,1.45,8,,,21.4,-60,0.09,0,1.07,0,0.1,0.36,0.07,0,1.57,0,0,0,0.42,0
2023/11/24,1,S,-62,-120,-1047,0.22 ,4762.07 ,0.00 ,171.49 ,1581.28 ,555.22 ,1.34 ,9140.99 ,2.87 ,26.27 ,2.07 ,1251.79 ,0.00 ,0.95 ,7.29 ,26.30 ,20.3,1.54 ,0.53,89,5.97,2.98,16,,,21.4,-162,0.18,0,1.75,0.02,0.13,0.53,0.13,0,3,0,0.01,0,0.6,0
2023/11/24,4,S,-24,-53,-533,0.15 ,4586.84 ,0.00 ,171.80 ,1520.23 ,509.94 ,1.19 ,8888.27 ,2.87 ,25.49 ,2.29 ,1217.67 ,0.00 ,1.19 ,7.48 ,25.40 ,20.6,1.48 ,0.72,38,6.84,1.34,27,,,21.4,-26,0.12,0,1.26,0,0.09,0.32,0.05,0,2,0,0,0,0.32,0
2023/11/24,5,S,96,-96,-2266,0.12 ,5050.66 ,0.08 ,189.16 ,1618.67 ,556.47 ,1.34 ,9787.76 ,1.52 ,21.54 ,0.25 ,1349.27 ,0.00 ,1.58 ,7.50 ,27.60 ,20.7,1.62 ,0.63,59,6.41,2.48,16,,,21.8,-149,0.2,0,1.76,0.03,0.13,0.99,0.17,0,3.19,0,0.01,0,0.65,0
2023/12/21,1,S,20,-20,NA,0.01 ,469.13 ,0.00 ,19.27 ,225.26 ,53.64 ,0.00 ,479.55 ,0.00 ,2.19 ,1.97 ,57.74 ,0.00 ,1.97 ,7.50 ,3.07 ,13.8,0.17 ,0.54,84,6.06,2.19,12,,,13.8,-144,0.22,0,1.51,0.03,0.13,0.5,0.12,0,1.9,0,0,0,0.6,0
2023/12/21,2,S,81,2030,NA,0.01 ,472.61 ,0.00 ,19.94 ,222.95 ,52.51 ,0.00 ,443.92 ,0.00 ,1.55 ,1.23 ,59.30 ,0.00 ,1.66 ,7.68 ,3.11 ,13.9,0.17 ,0.64,56,6.69,1.68,9,,,13.9,-60,0.13,0,1.3,0.02,0.12,0.72,0.13,0,1.45,0,0,0,0.66,0
2023/12/21,3,S,-4,-8,NA,0.01 ,371.08 ,0.80 ,16.83 ,186.55 ,40.74 ,0.00 ,393.07 ,0.00 ,1.57 ,1.40 ,40.80 ,0.00 ,1.41 ,7.85 ,2.49 ,13.4,0.13 ,0.56,77,6.48,2.42,13,,,13.4,-30,0.17,0,1.5,0.02,0.13,0.44,0.11,0,1.45,0,0,0,0.33,0
2023/12/21,1,S,74,-14,25,0.01 ,469.13 ,0.00 ,19.27 ,225.26 ,53.64 ,0.00 ,479.55 ,0.00 ,2.19 ,1.97 ,57.74 ,0.00 ,1.97 ,7.50 ,3.07 ,13.8,0.17 ,0.54,84,6.06,2.19,12,,,13.8,-144,0.22,0,1.51,0.03,0.13,0.5,0.12,0,1.9,0,0,0,0.6,0
2023/12/21,4,S,24,-20,-41,0.00 ,650.46 ,0.00 ,25.92 ,253.77 ,62.20 ,0.00 ,668.29 ,0.00 ,2.25 ,0.81 ,65.18 ,0.00 ,1.96 ,7.76 ,4.30 ,13.0,0.23 ,0.72,39,6.89,1.17,6,,,13,-100,0.17,0,1.01,0.01,0.09,0.24,0.04,0,1.34,0,0,0,0.28,0
2023/12/21,5,S,-10,-5,-14,0.00 ,596.05 ,0.01 ,24.20 ,247.54 ,61.31 ,0.00 ,522.00 ,0.00 ,1.80 ,0.85 ,55.08 ,0.00 ,1.91 ,7.92 ,3.86 ,13.2,0.21 ,0.46,120,6.2,3.47,19,,,13.2,-32,0.22,0,1.63,0.02,0.14,0.54,0.15,0,2.51,0,0.01,0,0.73,0
2024/1/23,1,S,12,406,NA,0.02 ,107.64 ,0.72 ,6.25 ,112.57 ,14.11 ,0.00 ,82.37 ,0.00 ,0.82 ,1.66 ,14.26 ,0.00 ,5.57 ,7.00 ,0.54 ,13.6,0.03 ,0.58,71,5.95,1.69,9,2.64,0.21,14.2,78,0.37,0,1.72,0.04,0.14,0.45,0.12,0,2.68,0,0.01,0,0.37,0
2024/1/23,2,S,-2,-6,NA,0.00 ,213.38 ,0.92 ,10.77 ,145.23 ,26.12 ,0.00 ,336.65 ,0.00 ,1.32 ,2.34 ,40.67 ,0.00 ,6.54 ,7.06 ,1.07 ,13.8,0.08 ,0.58,72,6.73,1.96,11,2.46,0.19,15,-70,0.29,0,1.23,0.02,0.11,0.38,0.08,0,1.87,0,0,0,0.27,0
2024/1/23,3,S,20,14,NA,0.00 ,788.63 ,0.00 ,34.40 ,307.15 ,71.10 ,0.00 ,1404.98 ,0.00 ,4.22 ,1.66 ,152.53 ,0.00 ,7.03 ,7.19 ,2.77 ,13.5,0.16 ,0.73,37,6.63,1.03,5,1.33,0.09,15.5,-102,0.17,0,1.05,0,0.1,0.23,0.05,0,1.53,0,0,0,0.22,0
2024/2/21,1,S,-122,4,NA,0.02 ,107.64 ,0.72 ,6.25 ,112.57 ,14.11 ,0.00 ,82.37 ,0.00 ,0.82 ,1.66 ,14.26 ,0.00 ,5.57 ,7.00 ,0.54 ,13.6,0.03 ,0.45,120,6.22,6.98,37,,,22,256,0.3,0,2.38,0.04,0.18,0.11,0.27,0,0.85,0,0,0,0.19,0
2024/2/21,2,S,-18,1,NA,0.01 ,569.04 ,0.00 ,24.44 ,242.97 ,57.96 ,0.00 ,578.36 ,0.00 ,1.97 ,0.90 ,58.54 ,0.00 ,6.92 ,7.25 ,2.18 ,13.1,0.12 ,0.59,70,6.34,4.07,22,,,22,237,0.19,0,1.02,0.01,0.08,0.07,0.11,0,3.13,0,0.01,0,0.84,0
2024/2/21,3,S,20,-1,NA,0.00 ,374.83 ,1.47 ,17.20 ,191.54 ,45.67 ,0.00 ,476.53 ,0.00 ,1.69 ,1.42 ,50.83 ,0.00 ,5.32 ,7.37 ,1.64 ,13.3,0.09 ,0.58,73,6.33,4.19,22,,,22.2,12,0.18,0,2,0.02,0.16,0.09,0.21,0,3.28,0,0.01,0,0.99,0
2024/2/21,1,S,-16,-632,-2,0.02 ,107.64 ,0.72 ,6.25 ,112.57 ,14.11 ,0.00 ,82.37 ,0.00 ,0.82 ,1.66 ,14.26 ,0.00 ,5.57 ,7.00 ,0.54 ,13.6,0.03 ,0.45,120,6.22,6.98,37,,,22,256,0.3,0,2.38,0.04,0.18,0.11,0.27,0,0.85,0,0,0,0.19,0
2024/2/21,4,S,-211,105,-96,0.01 ,569.04 ,0.00 ,24.44 ,242.97 ,57.96 ,0.00 ,578.36 ,0.00 ,1.97 ,0.90 ,58.54 ,0.00 ,6.92 ,7.25 ,2.18 ,13.1,0.12 ,0.7,42,6.52,2.39,13,,,22.5,-151,0.16,0,1.57,0.01,0.13,0.06,0.11,0,2.45,0,0.01,0,0.51,0
2024/2/21,5,S,-15,-163,-64,0.00 ,374.83 ,1.47 ,17.20 ,191.54 ,45.67 ,0.00 ,476.53 ,0.00 ,1.69 ,1.42 ,50.83 ,0.00 ,5.32 ,7.37 ,1.64 ,13.3,0.09 ,0.54,86,6.24,5.25,28,,,25.7,-129,0.21,0,2.31,0.02,0.16,0.12,0.21,0,3.85,0,0.01,0,0.85,0
2024/3/26,1,S,81,203,NA,0.01,461.86,0.00,17.66,19.81,50.88,0.00,8568.51,1.78,19.05,0.68,1168.73,0.00,2.39,6.72,1.73,22.0,0.09,0.66,51,6.37,2.92,16,,,22.1,-25,0.18,0,0.36,0,0.03,0,0.03,0,2.77,0,0.01,0,0.5,0
2024/3/26,2,S,203,406,NA,0.01,543.49,0.00,20.82,22.50,50.64,0.00,9852.90,1.64,21.96,0.68,1370.46,0.00,2.04,6.81,1.82,21.9,0.10,0.48,109,6.19,6.1,33,,,21.4,-34,0.21,0,2.43,0.03,0.17,0.08,0.19,0,3.95,0,0.01,0,0.52,0
2024/3/26,3,S,41,81,NA,0.00,470.09,0.00,17.43,20.16,56.21,0.00,9020.79,1.52,19.96,0.57,1247.81,0.00,1.89,6.66,1.75,21.1,0.10,0.67,49,6.5,2.74,15,,,22,88,0.15,0,1.69,0.02,0.13,0.09,0.1,0,2.68,0,0.01,0,0.34,0
2024/3/26,1,S,41,-175,-12,0.01,461.86,0.00,17.66,19.81,50.88,0.00,8568.51,1.78,19.05,0.68,1168.73,0.00,2.39,6.72,1.73,22.0,0.09,0.7,42,6.52,2.39,13,,,22.5,-151,0.16,0,1.57,0.01,0.13,0.06,0.11,0,2.45,0,0.01,0,0.51,0
2024/3/26,5,S,84,-88,1,0.00,539.52,0.00,20.41,22.61,61.63,0.00,9665.99,1.64,21.54,0.55,1346.54,0.00,1.85,6.66,1.58,21.0,0.09,0.54,86,6.19,5.04,27,,,22.1,104,0.23,0,2.27,0.03,0.16,0.08,0.19,0,3.89,0,0.01,0,0.62,0
2024/4/22,1,S,65,40911,-46,0.06,1807.88,0.47,131.54,138.39,406.96,0.36,3220.37,2.07,6.58,2.30,396.88,0.00,2.55,6.32,10.7,26.6,0.6,0.71,41,6.6,2.02,11,1.55,0.12,25.5,10,0.17,0,0.83,0.01,0.12,0.07,0.09,0,1.86,0,0.01,0,0.2,0
2024/4/22,4,S,260,954,-8,0.08,2461.19,0.00,152.90,175.84,487.45,0.39,4141.01,0.00,8.79,0.62,649.06,0.00,1.77,7.3,0.65,26.6,0.02,0.71,40,6.74,1.76,9,1.47,0.11,26.5,-100,0.1,0,0.61,0,0.09,0.08,0.06,0,1.23,0,0.01,0.03,0.18,0
2024/4/22,5,S,242,-455,-29,0.02,2319.28,0.00,145.17,167.37,473.75,0.55,7160.94,3.41,17.86,1.00,966.67,0.00,1.90,7.3,0.8,26.8,0.03,0.72,38,6.76,1.75,9,1.83,0.11,26.6,10,0.19,0,0.65,0.01,0.09,0.08,0.06,0,1.36,0,0.01,0,0.21,0
2023/9/22,1,E,-43,216,-238,0.02 ,97.40 ,0.79 ,6.55 ,13.19 ,12.21 ,4.72 ,80.93 ,0.45 ,1.09 ,0.16 ,65.34 ,0.00 ,2.87 ,7.74 ,0.69 ,27.7,0.04 ,0.67,49,3.55,1,5,,,27.2,-28,0.1,0,0.45,0.01,0.06,0.04,0.05,0,0.5,0,0,0,0.69,0
2023/9/22,4,E,-142,-974,208,0.00 ,75.50 ,1.13 ,5.59 ,15.22 ,11.94 ,0.15 ,104.86 ,0.42 ,1.02 ,1.03 ,27.98 ,0.00 ,3.02 ,8.04 ,0.69 ,28.4,0.04 ,0.77,29,7.44,0.84,4,,,27.4,-200,0.15,0,0.73,0.01,0.07,0.05,0.04,0,0.15,0,0,0,0.03,0
2023/9/22,5,E,-57,-33548,-782,0.01 ,99.91 ,1.77 ,7.71 ,15.77 ,15.97 ,0.21 ,316.09 ,0.00 ,1.97 ,0.00 ,18.12 ,0.00 ,2.82 ,7.95 ,0.80 ,28.2,0.04 ,0.71,41,7.26,1.21,6,,,26.5,-70,0.2,0,0.7,0.01,0.06,0.03,0.03,0,0.13,0,0,0,0.02,0
2023/10/19,1,E,716,15525,60,0.07 ,2834.04 ,0.78 ,98.95 ,133.20 ,422.08 ,0.42 ,5464.00 ,1.00 ,13.38 ,1.21 ,713.04 ,0.00 ,3.93 ,7.10 ,16.61 ,27.7,0.90 ,0.65,55,5.27,3,16,2.34,0.18,27,-139,0.2,0,1.42,0.04,0.12,0.11,0.2,0,2.31,0,0.01,0,1.03,0
2023/10/19,4,E,-1378,-5005,34,0.00 ,1633.56 ,0.24 ,62.24 ,78.91 ,240.79 ,0.63 ,6347.89 ,0.00 ,13.66 ,0.31 ,844.19 ,0.00 ,3.42 ,7.43 ,18.32 ,32.0,0.99 ,0.69,44,6.24,2.13,11,2,0.14,27.8,-84,0.15,0,1.03,0.01,0.09,0.07,0.09,0,1.54,0,0,0,0.45,0
2023/10/19,5,E,-2244,-11630,-39,0.23 ,3137.46 ,0.24 ,114.06 ,147.87 ,470.79 ,0.43 ,5671.11 ,0.00 ,12.25 ,0.22 ,742.60 ,0.00 ,3.48 ,7.77 ,18.09 ,31.3,0.98 ,0.5,98,6.26,5.03,27,2.57,0.24,27.3,-54,0.25,0,1.75,0.04,0.12,0.11,0.2,0,2.93,0,0.01,0,0.61,0
2023/11/24,1,E,-101,-2254,-248,0.22 ,4762.07 ,0.00 ,171.49 ,1581.28 ,555.22 ,1.34 ,9140.99 ,2.87 ,26.27 ,2.07 ,1251.79 ,0.00 ,0.95 ,7.29 ,26.30 ,20.3,1.54 ,0.53,89,5.97,2.98,16,,,21.4,-162,0.18,0,1.75,0.02,0.13,0.53,0.13,0,3,0,0.01,0,0.6,0
2023/11/24,4,E,-148,-2254,-372,0.15 ,4586.84 ,0.00 ,171.80 ,1520.23 ,509.94 ,1.19 ,8888.27 ,2.87 ,25.49 ,2.29 ,1217.67 ,0.00 ,1.19 ,7.48 ,25.40 ,20.6,1.48 ,0.72,38,6.84,1.34,27,,,21.4,-26,0.12,0,1.26,0,0.09,0.32,0.05,0,2,0,0,0,0.32,0
2023/11/24,5,E,-119,-1651,-248,0.12 ,5050.66 ,0.08 ,189.16 ,1618.67 ,556.47 ,1.34 ,9787.76 ,1.52 ,21.54 ,0.25 ,1349.27 ,0.00 ,1.58 ,7.50 ,27.60 ,20.7,1.62 ,0.63,59,6.41,2.48,16,,,21.8,-149,0.2,0,1.76,0.03,0.13,0.99,0.17,0,3.19,0,0.01,0,0.65,0
2023/12/21,1,E,-13,-84,-165,0.01 ,469.13 ,0.00 ,19.27 ,225.26 ,53.64 ,0.00 ,479.55 ,0.00 ,2.19 ,1.97 ,57.74 ,0.00 ,1.97 ,7.50 ,3.07 ,13.8,0.17 ,0.54,84,6.06,2.19,12,,,13.8,-144,0.22,0,1.51,0.03,0.13,0.5,0.12,0,1.9,0,0,0,0.6,0
2023/12/21,4,E,-231,-69,-151,0.00 ,650.46 ,0.00 ,25.92 ,253.77 ,62.20 ,0.00 ,668.29 ,0.00 ,2.25 ,0.81 ,65.18 ,0.00 ,1.96 ,7.76 ,4.30 ,13.0,0.23 ,0.72,39,6.89,1.17,6,,,13,-100,0.17,0,1.01,0.01,0.09,0.24,0.04,0,1.34,0,0,0,0.28,0
2023/12/21,5,E,-54,-28,-76,0.00 ,596.05 ,0.01 ,24.20 ,247.54 ,61.31 ,0.00 ,522.00 ,0.00 ,1.80 ,0.85 ,55.08 ,0.00 ,1.91 ,7.92 ,3.86 ,13.2,0.21 ,0.46,120,6.2,3.47,19,,,13.2,-32,0.22,0,1.63,0.02,0.14,0.54,0.15,0,2.51,0,0.01,0,0.73,0
2024/2/21,1,E,-710,7484,-263,0.07 ,3228.11 ,0.56 ,125.67 ,155.76 ,405.77 ,0.42 ,6257.51 ,0.33 ,14.62 ,0.78 ,814.11 ,0.00 ,2.68 ,3.86 ,11.88,25.3,0.64 ,0.45,120,6.22,6.98,37,,,22,256,0.3,0,2.38,0.04,0.18,0.11,0.27,0,0.85,0,0,0,0.19,0
2024/2/21,4,E,-651,45,-123,0.30,3768.22,0.07,171.18,158.98,413.85,0.48,10452.08,1.94,20.64,0.98,1254.60,0.00,1.48,6.89,57.90,26.9,0.24,0.7,42,6.52,2.39,13,,,22.5,-151,0.16,0,1.57,0.01,0.13,0.06,0.11,0,2.45,0,0.01,0,0.51,0
2024/2/21,5,E,-432,-2061,-305,0.06,3659.76,0.00,139.12,156.04,453.85,0.50,9799.61,5.28,22.66,1.13,1358.80,0.00,1.12,7.14,28.90,25.2,1.62,0.54,86,6.24,5.25,28,,,25.7,-129,0.21,0,2.31,0.02,0.16,0.12,0.21,0,3.85,0,0.01,0,0.85,0
2024/3/26,1,E,1718,7475,274,0.01,461.86,0.00,17.66,19.81,50.88,0.00,8568.51,1.78,19.05,0.68,1168.73,0.00,2.39,6.72,1.73,22.0,0.09,0.66,51,6.37,2.92,16,,,22.1,-25,0.18,0,0.36,0,0.03,0,0.03,0,2.77,0,0.01,0,0.5,0
2024/3/26,5,E,-251,-1330,-183,0.00,539.52,0.00,20.41,22.61,61.63,0.00,9665.99,1.64,21.54,0.55,1346.54,0.00,1.85,6.66,1.58,21.0,0.09,0.54,86,6.19,5.04,27,,,22.1,104,0.23,0,2.27,0.03,0.16,0.08,0.19,0,3.89,0,0.01,0,0.62,0
2024/4/22,1,E,-207,-6242,-296,0.06,1807.88,0.47,131.54,138.39,406.96,0.36,3220.37,2.07,6.58,2.30,396.88,0.00,2.55,6.32,10.7,26.6,0.6,0.71,41,6.6,2.02,11,1.55,0.12,25.5,10,0.17,0,0.83,0.01,0.12,0.07,0.09,0,1.86,0,0.01,0,0.2,0
2024/4/22,4,E,108,-645,-30,0.08,2461.19,0.00,152.90,175.84,487.45,0.39,4141.01,0.00,8.79,0.62,649.06,0.00,1.77,7.3,0.65,26.6,0.02,0.71,40,6.74,1.76,9,1.47,0.11,26.5,-100,0.1,0,0.61,0,0.09,0.08,0.06,0,1.23,0,0.01,0.03,0.18,0
2024/4/22,5,E,88,596,-33,0.02,2319.28,0.00,145.17,167.37,473.75,0.55,7160.94,3.41,17.86,1.00,966.67,0.00,1.90,7.3,0.8,26.8,0.03,0.72,38,6.76,1.75,9,1.83,0.11,26.6,10,0.19,0,0.65,0.01,0.09,0.08,0.06,0,1.36,0,0.01,0,0.21,0
